colour_id	divergences
2126.1537	info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2126.2000	color_name: XLS[Tan] DB[Cognac Leer] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2126K.2000	color_name: XLS[Tan] DB[Cognac Leer]
2126.5600	color_name: XLS[Dark Blue] DB[Blue Leather] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2126K.5600	color_name: XLS[Dark Blue] DB[Blue Leather]
2126.5637	color_basic: XLS[Blue, Multi colour] DB[Blue, Multi Colour] | color_name: XLS[Blue Fantasy] DB[Blauw Army Suède] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2126K.5637	color_basic: XLS[Blue, Multi colour] DB[Blue, Multi Colour] | color_name: XLS[Blue Fantasy] DB[Blauw Army Suède]
2126.9800	color_name: XLS[Black] DB[Zwart Leer] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2126K.9800	color_name: XLS[Black] DB[Zwart Leer]
2126.9840	color_name: XLS[Black Reptile Print] DB[Zwart Reptiel Leer] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2126K.9840	color_name: XLS[Black Reptile Print] DB[Zwart Reptiel Leer]
2126.9900	info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2133.0126	color_basic: XLS[Fuchsia, Multi colour] DB[Pink]
2133.1900	color_basic: XLS[brown, Multi colour] DB[Brown] | color_name: XLS[Camel Combi] DB[Camel Leer & Oranje Leer Combi]
2133.5736	color_basic: XLS[Blue, Multi colour] DB[Blue] | color_name: XLS[Cobalti Combi] DB[Kobalt Leer & Rood Leer Combi]
2133.9800	color_name: XLS[Black] DB[Zwart Leer Combi]
2133.9807	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black Yellow Combi] DB[Zwart Leer & Geel Leer Combi]
2133.9826	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black Fuchsia Combi] DB[Zwart Leer & Wit Leer Combi]
2137.2037	color_basic: XLS[Multi colour] DB[Brown, Multi Colour] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2137K.2037	color_basic: XLS[Multi colour] DB[Brown, Multi Colour]
2137.2337	color_basic: XLS[Multi colour] DB[Zwart, Groen, Multi] | color_name: XLS[Multi Colour Fantasy Print] DB[Olijf Fantasie Nubuck] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2137K.2337	color_basic: XLS[Multi colour] DB[Zwart, Groen, Multi] | color_name: XLS[Multi Colour Fantasy Print] DB[Olijf Fantasie Nubuck]
2137.5637	color_basic: XLS[Multi colour] DB[Blue, Multi Colour] | color_name: XLS[Blue Fantasy Print] DB[Blauw Fantasie Suède] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2137K.5637	color_basic: XLS[Multi colour] DB[Blue, Multi Colour] | color_name: XLS[Blue Fantasy Print] DB[Blauw Fantasie Suède]
2137.8037	color_basic: XLS[Multi colour] DB[Grey, Multi Colour] | color_name: XLS[Grey Fantasy Pony] DB[Grijs Fantasie Ponyhair] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2137K.8037	color_basic: XLS[Multi colour] DB[Grey, Multi Colour] | color_name: XLS[Grey Fantasy Pony] DB[Grijs Fantasie Ponyhair]
2137.9800	color_name: XLS[Black] DB[Zwart Leer] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2137K.9800	color_name: XLS[Black] DB[Zwart Leer]
2137.9805	constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2137.9837	constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2137.9893	constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2137.9936	color_basic: XLS[Multi colour] DB[White, Multi Colour] | color_name: XLS[White Fantasy Rainbow] DB[Wit Fantasie Regenboog Leer] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2137K.9936	color_basic: XLS[Multi colour] DB[White, Multi Colour] | color_name: XLS[White Fantasy Rainbow] DB[Wit Fantasie Regenboog Leer]
2151.1126	color_basic: XLS[Multi colour] DB[Black, Multi Colour] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2151K.1126	color_basic: XLS[Multi colour] DB[Black, Multi Colour]
2151.5637	color_basic: XLS[Multi colour] DB[Blue, Multi Colour] | color_name: XLS[Green/Blue Patent] DB[Blauw Fantasie Lak & Blauw Suède Combi] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2151K.5637	color_basic: XLS[Multi colour] DB[Blue, Multi Colour] | color_name: XLS[Green/Blue Patent] DB[Blauw Fantasie Lak & Blauw Suède Combi]
2151.9893	constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2160.4326	color_basic: XLS[Green, Multi colour] DB[Green] | color_name: XLS[Dark Green] DB[Khaki] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2160K.4326	color_basic: XLS[Green, Multi colour] DB[Green] | color_name: XLS[Dark Green] DB[Khaki]
2160.5626	color_basic: XLS[Blue, Multi colour] DB[Blue] | color_name: XLS[Dark Blue] DB[Blauw Nubuck Combi] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2160K.5626	color_basic: XLS[Blue, Multi colour] DB[Blue] | color_name: XLS[Dark Blue] DB[Blauw Nubuck Combi]
2160.9826	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black] DB[Zwart Nubuck Combi] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2160K.9826	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black] DB[Zwart Nubuck Combi]
2160.9957	color_basic: XLS[White, Multi Colour] DB[White] | color_name: XLS[White] DB[Wit Leer Combi] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2160K.9957	color_basic: XLS[White, Multi Colour] DB[White] | color_name: XLS[White] DB[Wit Leer Combi]
2189.4337	color_basic: XLS[Green] DB[Green, Multi Colour] | color_name: XLS[Army Fantasy] DB[Army Su�de] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2189K.4337	color_basic: XLS[Green] DB[Green, Multi Colour]
2189.5656	color_basic: XLS[Blue, Multi colour] DB[Blue, Multi Colour] | color_name: XLS[Dark Blue Combi] DB[Blauw Leer & Army Suède] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2189K.5656	color_basic: XLS[Blue, Multi colour] DB[Blue, Multi Colour] | color_name: XLS[Dark Blue Combi] DB[Blauw Leer & Army Suède]
2189.9880	color_basic: XLS[Black, Multi colour] DB[Black, Multi Colour] | color_name: XLS[Black Combi] DB[Zwart Leer & Army Suède] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2189K.9880	color_basic: XLS[Black, Multi colour] DB[Black, Multi Colour] | color_name: XLS[Black Combi] DB[Zwart Leer & Army Suède]
2189.9980	info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2267.5602	size_last: XLS[28] DB[29]
2267.5702	size_last: XLS[28] DB[29]
2299K.5600	color_name: XLS[Blue] DB[Donkerblauw Leer]
2299.9900	color_name: XLS[White] DB[Wit Leer]
2301K.1536	color_basic: XLS[Brown, Multi Colour] DB[Brown]
2301.5636	color_basic: XLS[Blue, Multi Colour] DB[Blue] | color_name: XLS[Dark Blue Combi] DB[Donkerblauw Combi Leer]
2303.5680	color_name: XLS[Dark Blue] DB[Blauw Grijs Leer & Blauw Nubuck]
2303K.5680	color_name: XLS[Dark Blue] DB[Blauw Grijs Leer & Blauw Nubuck]
2303.8098	color_name: XLS[Grey] DB[Grijs Zwart Leer & Grijs Nubuck]
2303K.8098	color_name: XLS[Grey] DB[Grijs Zwart Leer & Grijs Nubuck]
2303.9885	color_basic: XLS[Black] DB[Grey, Black] | color_name: XLS[Black] DB[Zwart Antraciet Leer & Zwart Nubuck]
2303K.9885	color_basic: XLS[Black] DB[Grey, Black] | color_name: XLS[Black] DB[Zwart Antraciet Leer & Zwart Nubuck]
2309.0137	color_basic: XLS[Fuchsia] DB[Pink]
2309K.4537	color_name: XLS[Purple] DB[Paars Leer]
2310.1126	color_basic: XLS[Pink, Multi Colour] DB[Beige, Multi Colour] | color_name: XLS[Champagne Metalize] DB[Champagne Metallic Leer Combi]
2310.9399	color_basic: XLS[Multi Colour] DB[Beige, Multi Colour] | color_name: XLS[Fantasy] DB[Beige Fantasie Combi]
2407.2037	color_basic: XLS[Multi colour] DB[Brown, Multi Colour]
2407K.2037	color_basic: XLS[Multi colour] DB[Brown, Multi Colour]
2407.2337	color_basic: XLS[Multi colour] DB[Zwart, Groen, Multi] | color_name: XLS[Multi Colour Fantasy Print] DB[Olijf Fantasie Nubuck]
2407K.2337	color_basic: XLS[Multi colour] DB[Zwart, Groen, Multi] | color_name: XLS[Multi Colour Fantasy Print] DB[Olijf Fantasie Nubuck]
2407.8037	color_basic: XLS[Multi colour] DB[Grey, Multi Colour] | color_name: XLS[Grey Fantasy Pony] DB[Grijs Fantasie Ponyhair]
2407K.8037	color_basic: XLS[Multi colour] DB[Grey, Multi Colour] | color_name: XLS[Grey Fantasy Pony] DB[Grijs Fantasie Ponyhair]
2407.9800	color_name: XLS[Black] DB[Zwart Leer]
2407K.9800	color_name: XLS[Black] DB[Zwart Leer]
2407.9837	color_name: XLS[Black Flower Print] DB[Black Flower Print ]
2407K.9837	color_name: XLS[Black Flower Print] DB[Black Flower Print ]
2407.9936	color_basic: XLS[Multi colour] DB[White, Multi Colour] | color_name: XLS[White Fantasy Rainbow] DB[Wit Fantasie Regenboog Leer]
2407K.9936	color_basic: XLS[Multi colour] DB[White, Multi Colour] | color_name: XLS[White Fantasy Rainbow] DB[Wit Fantasie Regenboog Leer]
2460.4326	color_name: XLS[Dark Green] DB[Khaki]
2460.9826	color_basic: XLS[Black, Multi colour] DB[Black, Multi Colour]
2460K.4326	color_name: XLS[Dark Green] DB[Khaki]
2460K.9826	color_basic: XLS[Black, Multi colour] DB[Black, Multi Colour]
2480.0126	color_basic: XLS[Fuchsia] DB[Pink]
2480K.0126	color_basic: XLS[Fuchsia] DB[Pink]
2480.1462	color_name: XLS[Brown] DB[Bruin Nubuck & Bruin Leer]
2480K.1462	color_name: XLS[Brown] DB[Bruin Nubuck & Bruin Leer]
2480.5611	color_name: XLS[Dark Blue] DB[Blauw Leer & Blauw Nubuck]
2480K.5611	color_name: XLS[Dark Blue] DB[Blauw Leer & Blauw Nubuck]
2480.9800	color_name: XLS[Black] DB[Zwart Leer]
2480K.9800	color_name: XLS[Black] DB[Zwart Leer]
2480.9805	color_name: XLS[Black Patent] DB[Zwart Lak]
2480K.9805	color_name: XLS[Black Patent] DB[Zwart Lak]
2482.0126	color_basic: XLS[Fuchsia] DB[Pink]
2482K.0126	color_basic: XLS[Fuchsia] DB[Pink]
2482.4526	color_name: XLS[Purple] DB[Paars Leer & Paars Nubuck]
2482K.4526	color_name: XLS[Purple] DB[Paars Leer & Paars Nubuck]
2482.6536	color_name: XLS[Red] DB[Rood Leer & Rood Nubuck]
2482K.6536	color_name: XLS[Red] DB[Rood Leer & Rood Nubuck]
2482.9826	color_name: XLS[Black] DB[Zwart Leer & Zwart Nubuck]
2482K.9826	color_name: XLS[Black] DB[Zwart Leer & Zwart Nubuck]
2482.9936	color_basic: XLS[Multi colour] DB[White, Multi Colour] | color_name: XLS[White Fantasy Rainbow] DB[Wit Fantasie Regenboog Leer]
2482K.9936	color_basic: XLS[Multi colour] DB[White, Multi Colour] | color_name: XLS[White Fantasy Rainbow] DB[Wit Fantasie Regenboog Leer]
2483.1402	color_name: XLS[Dark Brown] DB[Bruin Nubuck & Zwart Leer]
2483K.1402	color_name: XLS[Dark Brown] DB[Bruin Nubuck & Zwart Leer]
2483.2002	color_basic: XLS[Brown] DB[Yellow] | color_name: XLS[Camel] DB[Camel Nubuck & Zwart Leer]
2483K.2002	color_basic: XLS[Brown] DB[Yellow] | color_name: XLS[Camel] DB[Camel Nubuck & Zwart Leer]
2483.9800	color_name: XLS[Black] DB[Zwart Leer]
2483K.9800	color_name: XLS[Black] DB[Zwart Leer]
2483.9802	color_name: XLS[Black] DB[Zwart Nubuck & Antraciet Leer]
2483K.9802	color_name: XLS[Black] DB[Zwart Nubuck & Antraciet Leer]
2484.2002	color_basic: XLS[Brown] DB[Yellow] | color_name: XLS[Camel] DB[Camel Nubuck & Zwart Leer]
2484K.2002	color_basic: XLS[Brown] DB[Yellow] | color_name: XLS[Camel] DB[Camel Nubuck & Zwart Leer]
2484.5602	color_name: XLS[Dark Blue] DB[Blauw Nubuck & Antraciet Leer]
2484K.5602	color_name: XLS[Dark Blue] DB[Blauw Nubuck & Antraciet Leer]
2484.9802	color_name: XLS[Black] DB[Zwart Nubuck & Antraciet Leer]
2484K.9802	color_name: XLS[Black] DB[Zwart Nubuck & Antraciet Leer]
2484.9804	color_name: XLS[Black oiled] DB[Zwart Geolied Nubuck & Zwart Leer]
2484K.9804	color_name: XLS[Black oiled] DB[Zwart Geolied Nubuck & Zwart Leer]
2488.9700	color_basic: XLS[White] DB[Beige] | color_name: XLS[Off White] DB[Off-White Leer & Zwart Suède]
2488K.9700	color_basic: XLS[White] DB[Beige] | color_name: XLS[Off White] DB[Off-White Leer & Zwart Suède]
2488.9820	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black] DB[Zwart Leer & Cognac Fantasie]
2488K.9820	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black] DB[Zwart Leer & Cognac Fantasie]
2488.9825	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black Patent] DB[Zwart Lak & Roze Fantasie]
2488K.9825	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black Patent] DB[Zwart Lak & Roze Fantasie]
